57, 72, 22
84, 94, 47
91, 121, 71
144, 170, 85
203, 251, 145
363, 413, 0
742, 912, 0
922, 943, 0
932, 953, 0
949, 960, 0
953, 969, 0
969, 971, 0
968, 971, 0
