351,485,555,0
352,484,554,0
353,483,553,0
354,482,552,0
355,481,551,0
356,480,550,0
357,479,549,0
358,478,548,0
359,477,547,0
360,476,546,0
361,475,545,0
362,474,544,0
363,473,543,0
364,472,542,0
365,471,541,0
366,470,540,0
367,469,539,0
368,468,538,0
369,467,537,0
370,466,536,0
371,465,535,0
372,464,534,0
373,463,533,0
374,462,532,0
375,461,531,0
376,460,530,0
377,459,529,0
378,458,528,0
379,457,527,0
380,456,526,0
381,455,525,0
382,454,524,0
383,453,523,0
384,452,522,0
385,451,521,0
386,450,520,0
387,449,519,0
388,448,518,0
389,447,517,0
390,446,516,0
391,445,515,0
392,444,514,0
393,443,513,0
394,442,512,0
395,441,511,0
396,440,510,0
397,439,509,0
398,438,508,0
399,437,507,0
400,436,506,0
401,435,505,0
402,434,504,0
403,433,503,0
404,432,502,0
405,431,501,0
406,430,500,0
407,429,499,0
408,428,498,0
409,427,497,0
410,426,496,0
411,425,495,0
412,424,494,0
413,423,493,0
414,422,492,0
415,421,491,0
416,420,490,0
417,419,489,0
418,418,488,0
419,417,487,0
420,416,486,0
421,415,485,0
422,414,484,0
423,413,483,0
424,412,482,0
425,411,481,0
426,410,480,0
427,409,479,0
428,408,478,0
429,407,477,0
430,406,476,0
431,405,475,0
432,404,474,0
433,403,473,0
434,402,472,0
435,401,471,0
436,400,470,0
437,399,469,0
438,398,468,0
439,397,467,0
440,396,466,0
441,395,465,0
442,394,464,0
443,393,463,0
444,392,462,0
445,391,461,0
446,390,460,0
447,389,459,0
448,388,458,0
449,387,457,0
450,386,456,0
451,385,455,0
452,384,454,0
453,383,453,0
454,382,452,0
455,381,451,0
456,380,450,0
457,379,449,0
458,378,448,0
459,377,447,0
460,376,446,0
461,375,445,0
462,374,444,0
463,373,443,0
464,372,442,0
465,371,441,0
466,370,440,0
467,369,439,0
468,368,438,0
469,367,437,0
470,366,436,0
471,365,435,0
472,364,434,0
473,363,433,0
474,362,432,0
475,361,431,0
476,360,430,0
477,359,429,0
478,358,428,0
479,357,427,0
480,356,426,0
481,355,425,0
482,354,424,0
483,353,423,0
484,352,422,0
485,351,421,0
486,350,420,0
487,349,419,0
488,348,418,0
489,347,417,0
490,346,416,0
491,345,415,0
492,344,414,0
